"Campaign name",Ads,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (TWD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Frequency,"Link clicks","CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)",Views,Viewers,"Clicks (all)","CPC (all)","Page engagement","Facebook likes","Post comments","Post engagements","Post saves","Post shares","Reporting starts","Reporting ends"
"AB test #3",隱藏關卡-biz,recently_completed,campaign,"Facebook Page visits",5,9,45,568,475,"1-day click",-,-,-,,1.19578947,5,9,11.97183099,79.22535211,576,475,68,0.66176471,15,1,,14,2,,2026-01-01,2026-04-18
文章推薦,"能量清理 感恩練習",inactive,campaign,"Facebook Page visits",4,10.25,41,281,265,"1-day click",-,-,-,,1.06037736,4,10.25,4.27046263,145.90747331,281,265,12,3.41666667,8,1,,7,,,2026-01-01,2026-04-18
文章推薦,付出那一刻就得到,inactive,campaign,"Facebook Page visits",18,2.11111111,38,504,290,"1-day click",-,-,-,,1.73793103,17,2.23529412,11.9047619,75.3968254,503,290,60,0.63333333,29,2,,27,1,1,2026-01-01,2026-04-18
"AB test #3",隱藏關卡-spirit,recently_completed,campaign,"Facebook Page visits",14,1.57142857,22,364,323,"1-day click",-,-,-,,1.12693498,12,1.83333333,10.16483516,60.43956044,366,323,37,0.59459459,21,2,,19,2,2,2026-01-01,2026-04-18
文章推薦,小心負能量炸彈,inactive,campaign,"Facebook Page visits",5,3.2,16,218,173,"1-day click",-,-,-,,1.26011561,5,3.2,13.30275229,73.39449541,221,173,29,0.55172414,8,,,8,,,2026-01-01,2026-04-18
"AB test #2",別再問當初-spirit,active,campaign,"Facebook Page visits",18,0.61111111,11,443,338,"1-day click",-,-,-,,1.31065089,15,0.73333333,13.31828442,24.83069977,446,338,59,0.18644068,34,2,,32,1,6,2026-01-01,2026-04-18
文章推薦,你算命嗎？算命是怎麼一回事呢？,inactive,campaign,"Facebook Page visits",15,0.6,9,310,236,"1-day click",-,-,-,,1.31355932,10,0.9,9.35483871,29.03225806,319,236,29,0.31034483,16,,,16,2,,2026-01-01,2026-04-18
文章推薦,為什麼生活像鬼打牆（習氣）,inactive,campaign,"Facebook Page visits",5,1.6,8,120,82,"1-day click",-,-,-,,1.46341463,4,2,10,66.66666667,120,82,12,0.66666667,8,,,8,1,,2026-01-01,2026-04-18
文章推薦,歲末感恩,inactive,campaign,"Facebook Page visits",1,7,7,170,128,"1-day click",-,-,-,,1.328125,2,3.5,9.41176471,41.17647059,170,128,16,0.4375,4,,,4,1,,2026-01-01,2026-04-18
"AB test #2",別再問當初-biz,active,campaign,"Facebook Page visits",3,1.33333333,4,151,138,"1-day click",-,-,-,,1.0942029,3,1.33333333,10.59602649,26.49006623,152,138,16,0.25,4,,,4,,,2026-01-01,2026-04-18
文章推薦,如果你的生命正在經歷失去,inactive,campaign,"Facebook Page visits",5,0.8,4,248,190,"1-day click",-,-,-,,1.30526316,3,1.33333333,10.08064516,16.12903226,251,190,25,0.16,10,,,10,,,2026-01-01,2026-04-18
文章推薦,丙午赤馬年，你準備好,inactive,campaign,"Facebook Page visits",1,1,1,77,65,"1-day click",-,-,-,,1.18461538,2,0.5,6.49350649,12.98701299,77,65,5,0.2,2,,,2,,,2026-01-01,2026-04-18
文章推薦,吸引力法則是真的,inactive,campaign,"Facebook Page visits",0,,0,24,24,"1-day click",-,-,-,,1,,,0,0,24,24,0,,,,,,,,2026-01-01,2026-04-18
"AB test #3",良心生的太大顆-spirit,recently_completed,campaign,"Facebook Page visits",0,,0,18,17,"1-day click",-,-,-,,1.05882353,,,5.55555556,0,18,17,1,0,,,,,,,2026-01-01,2026-04-18
文章推薦,控制，是這場虛擬遊戲中的無效指令,inactive,campaign,"Facebook Page visits",0,,0,5,5,"1-day click",-,-,-,,1,1,0,20,0,5,3,1,0,3,,,3,,,2026-01-01,2026-04-18
文章推薦,你看到的是攻擊，我看到的是求救。,inactive,campaign,"Facebook Page visits",0,,0,10,10,"1-day click",-,-,-,,1,,,10,0,10,10,1,0,,,,,,,2026-01-01,2026-04-18
文章推薦,控制，是這場虛擬遊戲中的無效指令,inactive,campaign,"Facebook Page visits",1,0,0,24,22,"1-day click",-,-,-,,1.09090909,1,0,8.33333333,0,24,22,2,0,1,,,1,,,2026-01-01,2026-04-18
文章推薦,"不是息心除妄想 ，只緣無事可思量",inactive,campaign,"Facebook Page visits",1,0,0,32,28,"1-day click",-,-,-,,1.14285714,1,0,9.375,0,32,28,3,0,2,,,2,,,2026-01-01,2026-04-18
